Year,Preceding year,Residence,Province,District,Mothers Education,Wealth quantile,Childs sex,Mothers age at Birth,Birth order,Previous birth interval,GeoCode,Value
2007-08,,,,,,,,,,,,103
2010,,,,,,,,,,,,76
2014-15,,,,,,,,,,,,50
2007-08,0 to 4,,,,,,,,,,,103
2007-08,5 to 9,,,,,,,,,,,173
2007-08,10 to 14,,,,,,,,,,,178
2007-08,10 to 14,Urban,,,,,,,,,,87
2007-08,10 to 14,Rural,,,,,,,,,,142
2007-08,10 to 14,,Kigali City,,,,,,,,1.0,102
2007-08,10 to 14,,Southern Province,,,,,,,,2.0,127
2007-08,10 to 14,,Western Province,,,,,,,,3.0,129
2007-08,10 to 14,,Northern Province,,,,,,,,4.0,115
2007-08,10 to 14,,Eastern Province,,,,,,,,5.0,174
2007-08,10 to 14,,,,No education,,,,,,,174
2007-08,10 to 14,,,,Primary,,,,,,,127
2007-08,10 to 14,,,,Secondary and higher,,,,,,,43
2007-08,10 to 14,,,,,Lowest,,,,,,161
2007-08,10 to 14,,,,,Second,,,,,,149
2007-08,10 to 14,,,,,Middle,,,,,,132
2007-08,10 to 14,,,,,Fourth,,,,,,141
2007-08,10 to 14,,,,,Highest,,,,,,84
2007-08,10 to 14,,,,,,Male,,,,,146
2007-08,10 to 14,,,,,,Female,,,,,123
2007-08,10 to 14,,,,,,,<20,,,,176
2007-08,10 to 14,,,,,,,20 to 29,,,,131
2007-08,10 to 14,,,,,,,30 to 39,,,,135
2007-08,10 to 14,,,,,,,40 to 49,,,,93
2007-08,10 to 14,,,,,,,,1,,,144
2007-08,10 to 14,,,,,,,,2 to 3,,,125
2007-08,10 to 14,,,,,,,,4 to 6,,,130
2007-08,10 to 14,,,,,,,,7+,,,155
2007-08,10 to 14,,,,,,,,,<2 years,,210
2007-08,10 to 14,,,,,,,,,2 years,,114
2007-08,10 to 14,,,,,,,,,3 years,,90
2007-08,10 to 14,,,,,,,,,4+ years,,95
2010,0 to 4,,,,,,,,,,,76
2010,5 to 9,,,,,,,,,,,133
2010,10 to 14,,,,,,,,,,,197
2010,10 to 14,Urban,,,,,,,,,,81
2010,10 to 14,Rural,,,,,,,,,,105
2010,10 to 14,,Kigali City,,,,,,,,1.0,79
2010,10 to 14,,Southern Province,,,,,,,,2.0,96
2010,10 to 14,,Western Province,,,,,,,,3.0,88
2010,10 to 14,,Northern Province,,,,,,,,4.0,107
2010,10 to 14,,Eastern Province,,,,,,,,5.0,125
2010,10 to 14,,,,No education,,,,,,,125
2010,10 to 14,,,,Primary,,,,,,,99
2010,10 to 14,,,,Secondary and higher,,,,,,,63
2010,10 to 14,,,,,Lowest,,,,,,119
2010,10 to 14,,,,,Second,,,,,,103
2010,10 to 14,,,,,Middle,,,,,,104
2010,10 to 14,,,,,Fourth,,,,,,104
2010,10 to 14,,,,,Highest,,,,,,75
2010,10 to 14,,,,,,Male,,,,,107
2010,10 to 14,,,,,,Female,,,,,97
2010,10 to 14,,,,,,,<20,,,,137
2010,10 to 14,,,,,,,20 to 29,,,,102
2010,10 to 14,,,,,,,30 to 39,,,,96
2010,10 to 14,,,,,,,40 to 49,,,,89
2010,10 to 14,,,,,,,,1,,,107
2010,10 to 14,,,,,,,,2 to 3,,,103
2010,10 to 14,,,,,,,,4 to 6,,,94
2010,10 to 14,,,,,,,,7+,,,111
2010,10 to 14,,,,,,,,,<2 years,,156
2010,10 to 14,,,,,,,,,2 years,,87
2010,10 to 14,,,,,,,,,3 years,,76
2010,10 to 14,,,,,,,,,4+ years,,78
2014-15,0 to 4,,,,,,,,,,,50
2014-15,5 to 9,,,,,,,,,,,84
2014-15,10 to 14,,,,,,,,,,,150
2014-15,10 to 14,Urban,,,,,,,,,,51
2014-15,10 to 14,Rural,,,,,,,,,,70
2014-15,10 to 14,,Kigali City,,,,,,,,1.0,42
2014-15,10 to 14,,Southern Province,,,,,,,,2.0,66
2014-15,10 to 14,,Western Province,,,,,,,,3.0,62
2014-15,10 to 14,,Northern Province,,,,,,,,4.0,60
2014-15,10 to 14,,Eastern Province,,,,,,,,5.0,86
2014-15,10 to 14,,,,No education,,,,,,,89
2014-15,10 to 14,,,,Primary,,,,,,,65
2014-15,10 to 14,,,,Secondary and higher,,,,,,,43
2014-15,10 to 14,,,,,Lowest,,,,,,84
2014-15,10 to 14,,,,,Second,,,,,,77
2014-15,10 to 14,,,,,Middle,,,,,,68
2014-15,10 to 14,,,,,Fourth,,,,,,58
2014-15,10 to 14,,,,,Highest,,,,,,40
2014-15,10 to 14,,,,,,Male,,,,,70
2014-15,10 to 14,,,,,,Female,,,,,64
2014-15,10 to 14,,,,,,,<20,,,,83
2014-15,10 to 14,,,,,,,20 to 29,,,,62
2014-15,10 to 14,,,,,,,30 to 39,,,,71
2014-15,10 to 14,,,,,,,40 to 49,,,,80
2014-15,10 to 14,,,,,,,,1,,,66
2014-15,10 to 14,,,,,,,,2 to 3,,,62
2014-15,10 to 14,,,,,,,,4 to 6,,,70
2014-15,10 to 14,,,,,,,,7+,,,80
2014-15,10 to 14,,,,,,,,,<2 years,,99
2014-15,10 to 14,,,,,,,,,2 years,,70
2014-15,10 to 14,,,,,,,,,3 years,,49
2014-15,10 to 14,,,,,,,,,4+ years,,49
2014-15,,,Kigali City,Nyarugenge,,,,,,,11.0,46
2014-15,,,Kigali City,Gasabo,,,,,,,12.0,41
2014-15,,,Kigali City,Kicukiro,,,,,,,13.0,40
