Year,Location,District,Value
2011,,,74.2
2011,Urban,,87.1
2011,Rural,,71.9
2011,,Kigali City,82.7
2011,,Southern,74.8
2011,,Western,74.2
2011,,Northern,78.9
2011,,Eastern,66.6
2013/2014,,,84.8
2013/2014,Urban,,90.0
2013/2014,Rural,,83.7
2013/2014,,Kigali City,84.5
2013/2014,,Southern,85.8
2013/2014,,Western,84.5
2013/2014,,Northern,90.6
2013/2014,,Eastern,80.6
2016/2017,,,87.4
2016/2017,Urban,,95.8
2016/2017,Rural,,85.4
2016/2017,,Kigali City,95.9
2016/2017,,Southern,88.0
2016/2017,,Western,86.5
2016/2017,,Northern,87.5
2016/2017,,Eastern,82.6
