Year,Units,Province,District,Urban/Rural,GeoCode,Value
2000,Percentage (%) of the population living in poverty,Kigali city,,,1,22.7
2005,Percentage (%) of the population living in poverty,Kigali city,,,1,20.8
2010,Percentage (%) of the population living in poverty,Kigali city,,,1,16.8
2013,Percentage (%) of the population living in poverty,Kigali city,,,1,20.7
2016,Percentage (%) of the population living in poverty,Kigali city,,,1,13.9
2000,Percentage (%) of the population living in extreme poverty,Kigali city,,,,14.5
2005,Percentage (%) of the population living in extreme poverty,Kigali city,,,,12.9
2010,Percentage (%) of the population living in extreme poverty,Kigali city,,,,7.8
2013,Percentage (%) of the population living in extreme poverty,Kigali city,,,,9.3
2016,Percentage (%) of the population living in extreme poverty,Kigali city,,,,4.2
2000,Percentage (%) of the population living in poverty,Southern Province,,,2,65.5
2005,Percentage (%) of the population living in poverty,Southern Province,,,2,66.7
2010,Percentage (%) of the population living in poverty,Southern Province,,,2,56.5
2013,Percentage (%) of the population living in poverty,Southern Province,,,2,38.4
2016,Percentage (%) of the population living in poverty,Southern Province,,,2,41.4
2000,Percentage (%) of the population living in extreme poverty,Southern Province,,,,44.7
2005,Percentage (%) of the population living in extreme poverty,Southern Province,,,,44.9
2010,Percentage (%) of the population living in extreme poverty,Southern Province,,,,31.1
2013,Percentage (%) of the population living in extreme poverty,Southern Province,,,,12.9
2016,Percentage (%) of the population living in extreme poverty,Southern Province,,,,16.9
2000,Percentage (%) of the population living in poverty,Western Province,,,3,62.3
2005,Percentage (%) of the population living in poverty,Western Province,,,3,60.4
2010,Percentage (%) of the population living in poverty,Western Province,,,3,48.4
2013,Percentage (%) of the population living in poverty,Western Province,,,3,45.2
2016,Percentage (%) of the population living in poverty,Western Province,,,3,47.1
2000,Percentage (%) of the population living in extreme poverty,Western Province,,,,40.4
2005,Percentage (%) of the population living in extreme poverty,Western Province,,,,37.7
2010,Percentage (%) of the population living in extreme poverty,Western Province,,,,27.4
2013,Percentage (%) of the population living in extreme poverty,Western Province,,,,21.5
2016,Percentage (%) of the population living in extreme poverty,Western Province,,,,21.6
2000,Percentage (%) of the population living in poverty,Northern Province,,,4,64.2
2005,Percentage (%) of the population living in poverty,Northern Province,,,4,60.5
2010,Percentage (%) of the population living in poverty,Northern Province,,,4,42.8
2013,Percentage (%) of the population living in poverty,Northern Province,,,4,46.1
2016,Percentage (%) of the population living in poverty,Northern Province,,,4,42.3
2000,Percentage (%) of the population living in extreme poverty,Northern Province,,,,46.5
2005,Percentage (%) of the population living in extreme poverty,Northern Province,,,,39.1
2010,Percentage (%) of the population living in extreme poverty,Northern Province,,,,23.5
2013,Percentage (%) of the population living in extreme poverty,Northern Province,,,,20.2
2016,Percentage (%) of the population living in extreme poverty,Northern Province,,,,17.4
2000,Percentage (%) of the population living in poverty,Eastern Province,,,5,59.3
2005,Percentage (%) of the population living in poverty,Eastern Province,,,5,52.1
2010,Percentage (%) of the population living in poverty,Eastern Province,,,5,42.6
2013,Percentage (%) of the population living in poverty,Eastern Province,,,5,37.9
2016,Percentage (%) of the population living in poverty,Eastern Province,,,5,37.4
2000,Percentage (%) of the population living in extreme poverty,Eastern Province,,,,39.4
2005,Percentage (%) of the population living in extreme poverty,Eastern Province,,,,29.9
2010,Percentage (%) of the population living in extreme poverty,Eastern Province,,,,20.8
2013,Percentage (%) of the population living in extreme poverty,Eastern Province,,,,15.4
2016,Percentage (%) of the population living in extreme poverty,Eastern Province,,,,15.3
2010,Percentage (%) of the population living in poverty,Kigali city,Nyarugenge,,11,10.1
2010,Percentage (%) of the population living in extreme poverty,Kigali city,Nyarugenge,,,3.6
2013,Percentage (%) of the population living in poverty,Kigali city,Nyarugenge,,11,19.9
