Year,Geographical location,Residence,Gender,Age Group,Province,Skills,Value
2016/17,Rwanda,,,,,Copying (Moving) a file or a folder,2.8
2016/17,Rwanda,,,,,Using copy and paste,2.8
2016/17,Rwanda,,,,,Sending e-mails with attached files,2.1
2016/17,Rwanda,,,,,Using basic arithmetic formulae in a spreadsheet,1.8
2016/17,Rwanda,,,,,Connecting and installing new devices,2
2016/17,Rwanda,,,,,"Finding, downloading installing and configuring software",1
2016/17,Rwanda,,,,,Creating electronic presentations with presentation software,0.8
2016/17,Rwanda,,,,,Transferring files between a computer and other devices,1.4
2016/17,Rwanda,,,,,Writing a computer program using a specialized programming language,1.4
2016/17,Rwanda,Urban,,,,Copying (Moving) a file or a folder,9.9
2016/17,Rwanda,Urban,,,,Using copy and paste,9.7
2016/17,Rwanda,Urban,,,,Sending e-mails with attached files,7.7
2016/17,Rwanda,Urban,,,,Using basic arithmetic formulae in a spreadsheet,6.5
2016/17,Rwanda,Urban,,,,Connecting and installing new devices,7.2
2016/17,Rwanda,Urban,,,,"Finding, downloading installing and configuring software",3.7
2016/17,Rwanda,Urban,,,,Creating electronic presentations with presentation software,2.9
2016/17,Rwanda,Urban,,,,Transferring files between a computer and other devices,5.3
2016/17,Rwanda,Urban,,,,Writing a computer program using a specialized programming language,5.3
2016/17,Rwanda,Rural,,,,Copying (Moving) a file or a folder,1.2
2016/17,Rwanda,Rural,,,,Using copy and paste,1.2
2016/17,Rwanda,Rural,,,,Sending e-mails with attached files,0.8
2016/17,Rwanda,Rural,,,,Using basic arithmetic formulae in a spreadsheet,0.8
2016/17,Rwanda,Rural,,,,Connecting and installing new devices,0.8
2016/17,Rwanda,Rural,,,,"Finding, downloading installing and configuring software",0.4
2016/17,Rwanda,Rural,,,,Creating electronic presentations with presentation software,0.3
2016/17,Rwanda,Rural,,,,Transferring files between a computer and other devices,0.6
2016/17,Rwanda,Rural,,,,Writing a computer program using a specialized programming language,0.6
2016/17,Rwanda,,Male,,,Copying (Moving) a file or a folder,3.6
2016/17,Rwanda,,Male,,,Using copy and paste,3.6
2016/17,Rwanda,,Male,,,Sending e-mails with attached files,2.7
2016/17,Rwanda,,Male,,,Using basic arithmetic formulae in a spreadsheet,2.3
2016/17,Rwanda,,Male,,,Connecting and installing new devices,2.6
2016/17,Rwanda,,Male,,,"Finding, downloading installing and configuring software",1.3
2016/17,Rwanda,,Male,,,Creating electronic presentations with presentation software,1.1
2016/17,Rwanda,,Male,,,Transferring files between a computer and other devices,1.9
2016/17,Rwanda,,Male,,,Writing a computer program using a specialized programming language,1.9
2016/17,Rwanda,,Female,,,Copying (Moving) a file or a folder,2.1
2016/17,Rwanda,,Female,,,Using copy and paste,2
2016/17,Rwanda,,Female,,,Sending e-mails with attached files,1.5
2016/17,Rwanda,,Female,,,Using basic arithmetic formulae in a spreadsheet,1.4
2016/17,Rwanda,,Female,,,Connecting and installing new devices,1.3
2016/17,Rwanda,,Female,,,"Finding, downloading installing and configuring software",0.7
2016/17,Rwanda,,Female,,,Creating electronic presentations with presentation software,0.5
2016/17,Rwanda,,Female,,,Transferring files between a computer and other devices,1
2016/17,Rwanda,,Female,,,Writing a computer program using a specialized programming language,1
2016/17,Rwanda,,,15 and less,,Copying (Moving) a file or a folder,0.1
2016/17,Rwanda,,,15 and less,,Using copy and paste,0.1
2016/17,Rwanda,,,15 and less,,Sending e-mails with attached files,0
2016/17,Rwanda,,,15 and less,,Using basic arithmetic formulae in a spreadsheet,0
2016/17,Rwanda,,,15 and less,,Connecting and installing new devices,0
2016/17,Rwanda,,,15 and less,,"Finding, downloading installing and configuring software",0
2016/17,Rwanda,,,15 and less,,Creating electronic presentations with presentation software,0
2016/17,Rwanda,,,15 and less,,Transferring files between a computer and other devices,0
2016/17,Rwanda,,,15 and less,,Writing a computer program using a specialized programming language,0
2016/17,Rwanda,,,16-20,,Copying (Moving) a file or a folder,3.5
2016/17,Rwanda,,,16-20,,Using copy and paste,3.1
2016/17,Rwanda,,,16-20,,Sending e-mails with attached files,1.8
2016/17,Rwanda,,,16-20,,Using basic arithmetic formulae in a spreadsheet,1.9
2016/17,Rwanda,,,16-20,,Connecting and installing new devices,1.7
2016/17,Rwanda,,,16-20,,"Finding, downloading installing and configuring software",1
2016/17,Rwanda,,,16-20,,Creating electronic presentations with presentation software,0.5
2016/17,Rwanda,,,16-20,,Transferring files between a computer and other devices,1.1
2016/17,Rwanda,,,16-20,,Writing a computer program using a specialized programming language,1.1
