Year,Units,Province,District,Urban/Rural,GeoCode,Value
2010/11,Percentage (%) of the population living in poverty,,Bugesera,,57,48.4
2010/11,Percentage (%) of the population living in poverty,,Burera,,44,45.2
2010/11,Percentage (%) of the population living in poverty,,Gakenke,,42,56.6
2010/11,Percentage (%) of the population living in poverty,,Gasabo,,12,26
2010/11,Percentage (%) of the population living in poverty,,Gatsibo,,53,43.1
2010/11,Percentage (%) of the population living in poverty,,Gicumbi,,45,49.3
2010/11,Percentage (%) of the population living in poverty,,Gisagara,,22,59.4
2010/11,Percentage (%) of the population living in poverty,,Huye,,24,46.6
2010/11,Percentage (%) of the population living in poverty,,Kamonyi,,28,46.7
2010/11,Percentage (%) of the population living in poverty,,Karongi,,31,61.7
2010/11,Percentage (%) of the population living in poverty,,Kayonza,,54,42.6
2010/11,Percentage (%) of the population living in poverty,,Kicukiro,,13,8.3
2010/11,Percentage (%) of the population living in poverty,,Kirehe,,55,47.9
2010/11,Percentage (%) of the population living in poverty,,Muhanga,,27,53.6
2010/11,Percentage (%) of the population living in poverty,,Musanze,,43,20.1
2010/11,Percentage (%) of the population living in poverty,,Ngoma,,56,47.6
2010/11,Percentage (%) of the population living in poverty,,Ngororero,,35,51.9
2010/11,Percentage (%) of the population living in poverty,,Nyabihu,,34,28.6
2010/11,Percentage (%) of the population living in poverty,,Nyagatare,,52,37.8
2010/11,Percentage (%) of the population living in poverty,,Nyamagabe,,25,73.3
2010/11,Percentage (%) of the population living in poverty,,Nyamasheke,,37,63.4
2010/11,Percentage (%) of the population living in poverty,,Nyanza,,21,49.8
2010/11,Percentage (%) of the population living in poverty,,Nyarugenge,,11,10.1
2010/11,Percentage (%) of the population living in poverty,,Nyaruguru,,23,61.6
2010/11,Percentage (%) of the population living in poverty,,Rubavu,,33,35.8
2010/11,Percentage (%) of the population living in poverty,,Ruhango,,26,60.4
2010/11,Percentage (%) of the population living in poverty,,Rulindo,,41,42.9
2010/11,Percentage (%) of the population living in poverty,,Rusizi,,36,45
2010/11,Percentage (%) of the population living in poverty,,Rutsiro,,32,53
2010/11,Percentage (%) of the population living in poverty,,Rwamagana,,51,30.4
2010/11,Percentage (%) of the population living in extreme poverty,,Bugesera,,57,28.3
2010/11,Percentage (%) of the population living in extreme poverty,,Burera,,44,23.4
2010/11,Percentage (%) of the population living in extreme poverty,,Gakenke,,42,30.9
2010/11,Percentage (%) of the population living in extreme poverty,,Gasabo,,12,13.2
2010/11,Percentage (%) of the population living in extreme poverty,,Gatsibo,,53,18.8
